id,cve_ent,turno,tipo,esp_3,esp_6,n_eval_3,n_eval_6
38664,15,MATUTINO,INDêGENA,430,414,3,4
38665,15,MATUTINO,INDêGENA,458,418,8,10
38666,15,MATUTINO,INDêGENA,504,536,21,20
38667,15,MATUTINO,INDêGENA,597,573,32,27
38668,15,MATUTINO,INDêGENA,559,726,18,28
38669,15,MATUTINO,INDêGENA,504,498,10,11
38670,15,MATUTINO,INDêGENA,645,619,13,8
38671,15,MATUTINO,INDêGENA,636,511,65,55
38672,15,MATUTINO,INDêGENA,504,527,8,6
38673,15,MATUTINO,INDêGENA,595,525,34,39
38674,15,MATUTINO,INDêGENA,480,481,40,19
38675,15,MATUTINO,INDêGENA,597,631,14,28
38676,15,MATUTINO,INDêGENA,518,399,3,9
38677,15,MATUTINO,INDêGENA,529,467,23,19
38678,15,MATUTINO,INDêGENA,496,511,16,24
38679,15,MATUTINO,INDêGENA,494,518,19,19
38680,15,MATUTINO,INDêGENA,504,390,10,11
38681,15,VESPERTINO,INDêGENA,452,583,4,2
38682,15,MATUTINO,INDêGENA,514,463,69,82
38683,15,MATUTINO,INDêGENA,404,446,6,5
38684,15,MATUTINO,INDêGENA,672,411,5,7
38685,15,MATUTINO,INDêGENA,530,449,5,14
38686,15,MATUTINO,INDêGENA,521,558,34,39
38687,15,MATUTINO,INDêGENA,494,440,11,10
38688,15,MATUTINO,INDêGENA,531,481,37,23
38689,15,MATUTINO,INDêGENA,555,382,8,7
38690,15,MATUTINO,INDêGENA,570,422,22,17
38691,15,MATUTINO,INDêGENA,705,414,30,32
38692,15,MATUTINO,INDêGENA,516,513,22,25
38693,15,MATUTINO,INDêGENA,489,529,30,28
38694,15,MATUTINO,INDêGENA,465,561,36,29
38695,15,MATUTINO,INDêGENA,453,567,7,14
38696,15,MATUTINO,INDêGENA,508,466,9,1
38697,15,MATUTINO,INDêGENA,568,509,4,6
38698,15,VESPERTINO,INDêGENA,517,477,31,17
38699,15,MATUTINO,INDêGENA,457,456,13,15
38700,15,MATUTINO,INDêGENA,528,481,45,59
38701,15,MATUTINO,INDêGENA,535,554,22,10
38702,15,MATUTINO,INDêGENA,637,426,18,12
38703,15,MATUTINO,INDêGENA,569,518,31,26
38704,15,MATUTINO,INDêGENA,564,523,8,11
38705,15,MATUTINO,INDêGENA,602,487,25,25
38706,15,MATUTINO,INDêGENA,608,581,9,18
38707,15,MATUTINO,INDêGENA,487,550,27,25
38708,15,MATUTINO,INDêGENA,467,485,4,2
38709,15,VESPERTINO,INDêGENA,461,483,25,30
38710,15,MATUTINO,INDêGENA,525,423,8,9
38711,15,MATUTINO,INDêGENA,576,460,18,9
38712,15,MATUTINO,INDêGENA,397,469,8,12
38713,15,MATUTINO,INDêGENA,517,491,4,9
38714,15,MATUTINO,INDêGENA,604,575,25,9
38715,15,MATUTINO,INDêGENA,479,480,6,22
38716,15,MATUTINO,INDêGENA,660,530,13,12
38717,15,MATUTINO,INDêGENA,516,381,8,7
38718,15,MATUTINO,INDêGENA,582,455,19,22
38719,15,MATUTINO,INDêGENA,588,494,10,17
38720,15,MATUTINO,INDêGENA,437,452,9,10
38721,15,MATUTINO,INDêGENA,345,308,1,1
38722,15,MATUTINO,INDêGENA,504,422,19,20
38723,15,MATUTINO,INDêGENA,525,467,11,9
38724,15,MATUTINO,INDêGENA,472,471,20,26
38725,15,MATUTINO,INDêGENA,526,553,11,6
38726,15,MATUTINO,INDêGENA,638,487,16,20
38727,15,MATUTINO,INDêGENA,510,529,21,16
38728,15,MATUTINO,INDêGENA,579,491,14,20
38729,15,MATUTINO,INDêGENA,419,467,6,5
38730,15,MATUTINO,INDêGENA,585,469,29,16
38731,15,MATUTINO,INDêGENA,533,463,15,22
38733,15,VESPERTINO,GENERAL,471,521,64,60
38734,15,MATUTINO,GENERAL,544,479,50,67
38735,15,VESPERTINO,GENERAL,667,506,43,34
38736,15,VESPERTINO,GENERAL,589,432,25,28
38737,15,VESPERTINO,GENERAL,653,473,24,25
38738,15,MATUTINO,GENERAL,594,487,37,36
38739,15,VESPERTINO,GENERAL,491,647,20,26
38740,15,MATUTINO,GENERAL,500,501,16,12
38741,15,VESPERTINO,GENERAL,501,528,66,59
38742,15,VESPERTINO,GENERAL,517,490,26,36
38743,15,MATUTINO,GENERAL,546,459,6,4
38744,15,VESPERTINO,GENERAL,534,518,56,48
38745,15,VESPERTINO,GENERAL,533,467,34,33
38746,15,MATUTINO,GENERAL,507,518,22,26
38747,15,MATUTINO,GENERAL,435,379,8,8
38748,15,VESPERTINO,GENERAL,487,499,27,18
38749,15,VESPERTINO,GENERAL,567,537,26,38
38750,15,VESPERTINO,GENERAL,474,520,59,74
38751,15,MATUTINO,GENERAL,580,507,40,47
38752,15,MATUTINO,GENERAL,512,536,76,71
38753,15,VESPERTINO,GENERAL,488,513,16,23
38754,15,VESPERTINO,GENERAL,496,477,26,51
38755,15,VESPERTINO,GENERAL,574,432,40,45
38756,15,MATUTINO,GENERAL,502,548,61,66
38757,15,MATUTINO,GENERAL,628,597,73,68
38758,15,VESPERTINO,GENERAL,641,546,10,14
38759,15,MATUTINO,GENERAL,536,580,29,20
38760,15,MATUTINO,GENERAL,498,385,9,4
38761,15,VESPERTINO,GENERAL,540,480,44,43
38762,15,MATUTINO,GENERAL,599,572,60,64
38763,15,VESPERTINO,GENERAL,556,562,39,45
38764,15,MATUTINO,GENERAL,523,681,14,7
38765,15,MATUTINO,GENERAL,502,504,77,68
38766,15,MATUTINO,GENERAL,591,593,84,90
38767,15,VESPERTINO,GENERAL,541,580,39,56
38768,15,MATUTINO,GENERAL,538,517,4,8
38769,15,VESPERTINO,GENERAL,482,437,35,33
38770,15,MATUTINO,GENERAL,674,451,2,6
38771,15,MATUTINO,GENERAL,609,543,94,83
38772,15,MATUTINO,GENERAL,440,500,4,2
38773,15,MATUTINO,GENERAL,544,566,43,52
