estado,clave,tipo,mate_6,num_evaluados_total,marginacion
AGUASCALIENTES,01DPR0228Z,GENERAL,496.64,12,MUY BAJO
AGUASCALIENTES,01DPR0229Z,GENERAL,470.7,9,ALTO
AGUASCALIENTES,01DPR0230O,GENERAL,427.68,17,BAJO
AGUASCALIENTES,01DPR0232M,GENERAL,440.32,24,BAJO
AGUASCALIENTES,01DPR0233L,GENERAL,511.69,29,BAJO
AGUASCALIENTES,01DPR0234K,GENERAL,552.78,13,MEDIO
AGUASCALIENTES,01DPR0235J,GENERAL,542.36,3,BAJO
AGUASCALIENTES,01DPR0237H,GENERAL,545.21,70,MUY BAJO
AGUASCALIENTES,01DPR0238G,GENERAL,487.4,20,BAJO
AGUASCALIENTES,01DPR0239F,GENERAL,524.92,22,BAJO
AGUASCALIENTES,01DPR0240V,GENERAL,338.01,1,MEDIO
AGUASCALIENTES,01DPR0241U,GENERAL,690.83,71,MUY BAJO
AGUASCALIENTES,01DPR0242T,GENERAL,473.55,31,BAJO
AGUASCALIENTES,01DPR0243S,GENERAL,378.5,10,BAJO
AGUASCALIENTES,01DPR0244R,GENERAL,478.42,26,BAJO
AGUASCALIENTES,01DPR0245Q,GENERAL,425.97,4,BAJO
AGUASCALIENTES,01DPR0246P,GENERAL,562.26,64,MUY BAJO
AGUASCALIENTES,01DPR0247O,GENERAL,392.24,6,MUY BAJO
AGUASCALIENTES,01DPR0248N,GENERAL,682.89,5,MUY BAJO
AGUASCALIENTES,01DPR0249M,GENERAL,448.35,2,MUY BAJO
AGUASCALIENTES,01DPR0250B,GENERAL,621.51,5,BAJO
AGUASCALIENTES,01DPR0251A,GENERAL,466.29,7,MEDIO
AGUASCALIENTES,01DPR0253Z,GENERAL,473.64,34,MUY BAJO
AGUASCALIENTES,01DPR0254Y,GENERAL,445.11,28,BAJO
AGUASCALIENTES,01DPR0255X,GENERAL,437.19,7,BAJO
AGUASCALIENTES,01DPR0256W,GENERAL,496.27,54,BAJO
AGUASCALIENTES,01DPR0257V,GENERAL,480.6,20,MEDIO
AGUASCALIENTES,01DPR0258U,GENERAL,460.26,19,BAJO
AGUASCALIENTES,01DPR0259T,GENERAL,566.05,13,BAJO
AGUASCALIENTES,01DPR0260I,GENERAL,421.79,58,MUY BAJO
AGUASCALIENTES,01DPR0261H,GENERAL,447.05,6,MUY BAJO
AGUASCALIENTES,01DPR0267B,GENERAL,548.94,23,MUY BAJO
AGUASCALIENTES,01DPR0269Z,GENERAL,483.7,31,MEDIO
AGUASCALIENTES,01DPR0270P,GENERAL,469.77,25,BAJO
AGUASCALIENTES,01DPR0271O,GENERAL,529.94,11,MUY BAJO
AGUASCALIENTES,01DPR0272N,GENERAL,519.5,54,MUY BAJO
AGUASCALIENTES,01DPR0273M,GENERAL,492.81,27,MUY BAJO
AGUASCALIENTES,01DPR0274L,GENERAL,528.83,28,MUY BAJO
AGUASCALIENTES,01DPR0276J,GENERAL,601.43,66,MUY BAJO
AGUASCALIENTES,01DPR0278H,GENERAL,507.41,30,MUY BAJO
AGUASCALIENTES,01DPR0279G,GENERAL,582.1,96,MUY BAJO
AGUASCALIENTES,01DPR0280W,GENERAL,540.54,62,MUY BAJO
AGUASCALIENTES,01DPR0281V,GENERAL,549.77,27,MUY BAJO
AGUASCALIENTES,01DPR0282U,GENERAL,535.88,54,MUY BAJO
AGUASCALIENTES,01DPR0283T,GENERAL,686.83,108,MUY BAJO
AGUASCALIENTES,01DPR0284S,GENERAL,482.81,39,MUY BAJO
AGUASCALIENTES,01DPR0285R,GENERAL,576.97,4,MUY BAJO
AGUASCALIENTES,01DPR0286Q,GENERAL,480.24,28,MUY BAJO
AGUASCALIENTES,01DPR0287P,GENERAL,451.69,5,BAJO
AGUASCALIENTES,01DPR0288O,GENERAL,495.46,8,BAJO
AGUASCALIENTES,01DPR0289N,GENERAL,511.41,4,MEDIO
AGUASCALIENTES,01DPR0290C,GENERAL,428.43,13,MUY BAJO
AGUASCALIENTES,01DPR0291B,GENERAL,514.7,37,BAJO
AGUASCALIENTES,01DPR0293Z,GENERAL,460.61,36,MUY BAJO
AGUASCALIENTES,01DPR0295Y,GENERAL,516.22,24,MEDIO
AGUASCALIENTES,01DPR0296X,GENERAL,477.4,6,MUY BAJO
AGUASCALIENTES,01DPR0297W,GENERAL,533.09,28,MUY BAJO
AGUASCALIENTES,01DPR0298V,GENERAL,435.37,9,BAJO
AGUASCALIENTES,01DPR0299U,GENERAL,642.02,32,BAJO
AGUASCALIENTES,01DPR0300T,GENERAL,421.64,10,BAJO
AGUASCALIENTES,01DPR0301S,GENERAL,513.01,10,BAJO
AGUASCALIENTES,01DPR0302R,GENERAL,574.72,39,MUY BAJO
AGUASCALIENTES,01DPR0303Q,GENERAL,580.62,20,MUY BAJO
AGUASCALIENTES,01DPR0304P,GENERAL,560.91,57,MUY BAJO
AGUASCALIENTES,01DPR0305O,GENERAL,607.05,72,BAJO
AGUASCALIENTES,01DPR0306N,GENERAL,497.48,25,BAJO
AGUASCALIENTES,01DPR0307M,GENERAL,492.97,13,BAJO
AGUASCALIENTES,01DPR0308L,GENERAL,542.47,30,BAJO
